System,Model,Architecture,Parameters,Training Time (s),Epochs Trained,Test MSE,Test MAE,Test RÂ²,Spectral Radius,Stable Modes,Spectral Error,Dataset Size
Sierpinski Gasket,DMD,Linear,N/A,N/A,N/A,N/A,N/A,N/A,0.9286,2,0.0,49999
Sierpinski Gasket,MLP_SMALL,MLP,"17,410",229.4,58,0.041744,0.180203,0.3773,0.3505,2,0.1725,49999
Sierpinski Gasket,MLP_MEDIUM,MLP,"75,842",414.6,77,0.041793,0.180748,0.3767,0.3728,2,0.2653,49999
Sierpinski Gasket,MLP_LARGE,MLP,"307,394",600.0,75,0.041728,0.180080,0.3775,0.3082,2,0.2995,49999
Sierpinski Gasket,MLP_GELU,MLP,"75,842",363.3,60,0.041764,0.180878,0.3769,0.2776,2,0.3845,49999
Sierpinski Gasket,DEEPONET_SMALL,DEEPONET,"11,138",247.3,29,0.028431,0.144102,0.5799,0.5117,2,0.2558,49999
Sierpinski Gasket,DEEPONET_MEDIUM,DEEPONET,"43,010",314.8,33,0.027702,0.142727,0.5807,0.5515,2,0.2757,49999
Sierpinski Gasket,DEEPONET_LARGE,DEEPONET,"168,450",424.9,37,0.028188,0.143477,0.5805,0.6539,2,0.3269,49999
Barnsley Fern,DMD,Linear,N/A,N/A,N/A,N/A,N/A,N/A,0.9651,2,0.0,49999
Barnsley Fern,MLP_SMALL,MLP,"17,410",227.6,54,1.702057,0.781788,0.8455,0.2340,2,0.5887,49999
Barnsley Fern,MLP_MEDIUM,MLP,"75,842",359.1,68,1.701099,0.762798,0.8455,0.5477,2,0.4331,49999
Barnsley Fern,MLP_LARGE,MLP,"307,394",909.7,117,1.701127,0.784199,0.8455,0.6371,2,0.1837,49999
Barnsley Fern,MLP_GELU,MLP,"75,842",415.7,70,1.702806,0.795747,0.8454,0.6103,2,0.4593,49999
Barnsley Fern,DEEPONET_SMALL,DEEPONET,"11,138",485.6,55,1.359241,0.955065,0.8778,0.8301,2,0.4151,49999
Barnsley Fern,DEEPONET_MEDIUM,DEEPONET,"43,010",940.9,95,1.413742,0.959964,0.8719,0.8689,2,0.4172,49999
Barnsley Fern,DEEPONET_LARGE,DEEPONET,"168,450",381.8,29,1.324628,0.938506,0.8796,0.9844,2,0.3788,49999
Julia Set,DMD,Linear,N/A,N/A,N/A,N/A,N/A,N/A,0.8360,2,0.0,3200
Julia Set,MLP_SMALL,MLP,"17,410",29.1,94,0.000436,0.015799,0.9970,0.1565,2,0.6762,3200
Julia Set,MLP_MEDIUM,MLP,"75,842",46.0,113,0.000480,0.015655,0.9967,0.1410,2,0.6824,3200
Julia Set,MLP_LARGE,MLP,"307,394",72.8,120,0.000544,0.016332,0.9962,0.2031,2,0.6808,3200
Julia Set,MLP_GELU,MLP,"75,842",29.5,64,0.000578,0.017893,0.9960,0.3670,2,0.5776,3200
Julia Set,DEEPONET_SMALL,DEEPONET,"11,138",23.0,34,0.027619,0.142578,0.8096,0.5620,2,0.3583,3200
Julia Set,DEEPONET_MEDIUM,DEEPONET,"43,010",50.4,68,0.027876,0.146629,0.7932,0.5347,2,0.3719,3200
Julia Set,DEEPONET_LARGE,DEEPONET,"168,450",70.5,83,0.028514,0.143833,0.7893,0.6511,2,0.3256,3200
